codeType;txtName;codeLgt;txtDescrMarking;geoLat;geoLong;valElev;valElevAccuracy;valHgt;codeHgtAccuracy;uomDistVer;valRadius;valRadiusAccuracy;uomRadius;codeGroupId;txtGroupName;locGroupMemberId;locLinkedToGroupMemberId;codeLinkType;datetimeValidWef;datetimeValidTil;txtRmk;source;defaultHeightFlag;codeMarking
TOWER; Waldenbuch;N;;48.6180555555556;9.14472222222222;2117;0;480;0;FT;0;0;FT;36;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Heidelberg;Y;;49.4216666666667;8.67277777777778;758;0;394;0;FT;0;0;FT;37;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
ANTENNA; Philippsburg;Y;;49.2505555555556;8.44222222222222;723;0;394;0;FT;0;0;FT;38;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Stromberg;N;;49.0347222222222;8.99722222222222;1951;0;409;0;FT;0;0;FT;39;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Wiesental, Waghäusel;N;;49.2305555555556;8.49805555555555;807;0;430;0;FT;0;0;FT;40;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
ANTENNA; Hüffenhardt;Y;;49.2961111111111;9.09166666666667;1382;0;381;0;FT;0;0;FT;41;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Mannheim;N;;49.4866666666667;8.49222222222222;997;0;680;0;FT;0;0;FT;42;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Marbach/Neckar;Y;;48.9272222222222;9.22972222222222;1173;0;525;0;FT;0;0;FT;43;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
ANTENNA; Wyhlen;Y;;47.5366666666667;7.67611111111111;1229;0;363;0;FT;0;0;FT;44;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Ehingen;Y;;48.2986111111111;9.70333333333333;2487;0;683;0;FT;0;0;FT;45;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Grünwettersbach;N;;48.9566666666667;8.45194444444444;1506;0;472;0;FT;0;0;FT;46;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Neckarwestheim;Y;;49.04;9.1725;1058;0;493;0;FT;0;0;FT;47;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Weißer Stein;N;;49.4541666666667;8.72388888888889;2143;0;355;0;FT;0;0;FT;48;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Hüfingen-Fürstenberg;N;;47.8880555555556;8.57694444444444;3484;0;466;0;FT;0;0;FT;49;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Karlsruhe;Y;;49.0591666666667;8.32972222222222;1030;0;689;0;FT;0;0;FT;50;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
BUILDING; Philippsburg;Y;;49.2538888888889;8.43833333333333;819;0;502;0;FT;0;0;FT;51;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
ANTENNA; Raichberg;Y;;48.3058333333333;8.99222222222222;3563;0;434;0;FT;0;0;FT;52;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Ulm/Donau;N;;48.3969444444444;9.96555555555556;1995;0;367;0;FT;0;0;FT;53;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Plettenberg;N;;48.2177777777778;8.81527777777778;3760;0;518;0;FT;0;0;FT;54;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
BUILDING; Mannheim-Neckarau;Y;;49.4441666666667;8.50055555555556;971;0;657;0;FT;0;0;FT;55;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Sindelfingen;N;;48.6969444444444;8.99888888888889;1802;0;394;0;FT;0;0;FT;56;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Mannheim;N;;49.4908333333333;8.47777777777778;667;0;352;0;FT;0;0;FT;57;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
BUILDING; Mannheim, Friesenheimer Insel;Y;;49.5222222222222;8.45388888888889;952;0;643;0;FT;0;0;FT;58;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Weitingen;N;;48.4477777777778;8.76472222222222;1634;0;413;0;FT;0;0;FT;59;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Geislingen am Kocher;N;;49.1769444444444;9.78555555555556;1423;0;609;0;FT;0;0;FT;60;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Totenkopf/Kaiserstuhl;N;;48.0811111111111;7.66916666666667;2287;0;508;0;FT;0;0;FT;61;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Großerlach;N;;49.0366666666667;9.54972222222222;2359;0;436;0;FT;0;0;FT;62;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Böhmenkirch-Schnittlingen;N;;48.6647222222222;9.86472222222222;2844;0;436;0;FT;0;0;FT;63;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Malsburg-Marzell, Blauen;N;;47.7777777777778;7.70138888888889;4094;0;305;0;FT;0;0;FT;64;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Willstätt;N;;48.5633333333333;7.92805555555556;811;0;355;0;FT;0;0;FT;65;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Waldburg, Dürrbühl;N;;47.7691666666667;9.7225;2848;0;354;0;FT;0;0;FT;66;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
ANTENNA; Sipplingen;Y;;47.8072222222222;9.10138888888889;2432;0;135;0;FT;0;0;FT;67;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Stuttgart-Möhringen;Y;;48.7233333333333;9.16916666666667;1617;0;212;0;FT;0;0;FT;68;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Heilbronn, Schweinsberg;Y;;49.1116666666667;9.25083333333333;1511;0;293;0;FT;0;0;FT;69;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
ANTENNA; Blumberg, Großer Buchberg;Y;;47.8305555555556;8.52166666666667;3052;0;181;0;FT;0;0;FT;70;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
ANTENNA; Heidelberg/Königstuhl;Y;;49.4027777777778;8.73055555555556;2189;0;335;0;FT;0;0;FT;71;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
ANTENNA; Klettgau-Grießen;Y;;47.6025;8.40722222222222;2560;0;338;0;FT;0;0;FT;72;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Feldberg im Schwarzwald;Y;;47.8736111111111;8.00388888888889;5015;0;118;0;FT;0;0;FT;73;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
TOWER; Neckarsulm;Y;;49.1813888888889;9.2325;903;0;337;0;FT;0;0;FT;74;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
WINDTURBINE; Dunningen;Y;;48.2208333333333;8.52972222222222;2783;0;394;0;FT;0;0;FT;75;;0;0;;;;;GERMAN AIP ENR 5.4;N;N
